link,source,keywords,relevant,crawl_try,time_stamp,processed,events_processed
https://www.facebook.com/groups/strictlylindy/,"Strictly Lindy Hop Swing Vancouver, BC",east coast swing,,11,42:08.6,FALSE,FALSE
https://www.facebook.com/RedHotSwing/,"Red Hot Swing - Lindy Hop in Victoria, BC",lindy hop,,12,51:39.4,FALSE,FALSE
https://www.facebook.com/KizombaVictoriaBC/,Kizomba Victoria BC,kizomba,,17,34:54.2,FALSE,FALSE
https://m.facebook.com/groups/647916138636861/posts/8851878378240555/,https://www.youtube.com/watch?v=AiWRFouq0mA,lindy hop,,17,56:43.5,FALSE,FALSE
https://www.facebook.com/groups/169950979714465/,Victoria Lindy Hop & Beyond,lindy hop,,11,51:39.4,FALSE,FALSE
https://www.facebook.com/events/the-duke-saloon/bi-weekly-free-line-dancing-lessons/284117448595473/,Bi-Weekly Free Line Dancing Lessons,line dance,,11,51:39.4,FALSE,FALSE
https://www.facebook.com/groups/alivetango/,Alive Tango Victoria,milonga,,13,35:50.2,FALSE,FALSE
https://www.facebook.com/groups/312703430332/posts/trying-to-remember-the-names-of-some-of-the-nightclubs-in-town-in-the-60-70s-cam/10163995744780333/,Trying to remember the names of some of the nightclubs in town in ...,nite club 2,,10,47:05.6,FALSE,FALSE
https://www.facebook.com/groups/312703430332/posts/10161993916275333/,Ok people ... what about NY NY nightclub on Yates? Anyone have ...,night club,,19,47:05.6,FALSE,FALSE
https://www.facebook.com/groups/312703430332/posts/ok-people-what-about-ny-ny-nightclub-on-yates-anyone-have-some-memoriesstories-t/10161993916275333/,Ok people ... what about NY NY nightclub on Yates? Anyone have ...,nite club,FALSE,8,32:37.0,FALSE,FALSE
https://www.facebook.com/salsadancevictoriabc/,Salsa dances etc. - Victoria BC,salsa,,11,57:32.8,FALSE,FALSE
https://www.facebook.com/groups/1744359399094119/posts/2589861774543873/,Hola Comunidad ya llegó la fiesta Colombiana para las vísperas de ...,tarraxinha,,10,37:03.4,FALSE,FALSE
https://www.facebook.com/groups/dancinginthecomoxvalley/posts/10160496098028578/,"For those of you who don't know Chris, let me tell you something ...",tarraxinha,,10,37:03.6,FALSE,FALSE
https://www.facebook.com/groups/1744359399094119/,Victoria Viva la Fiesta,tarraxinha,,19,37:03.5,FALSE,FALSE
