platform,url,note
facebook,https://www.facebook.com/events/840031595105965/,Current manual-coverage Facebook event
facebook,https://www.facebook.com/events/2022414884978906/,Current manual-coverage Facebook event
facebook,https://www.facebook.com/events/26942015382147211/,Current manual-coverage Facebook event
facebook,https://www.facebook.com/events/1008578532152270/,Current manual-coverage Facebook event
facebook,https://www.facebook.com/events/1413086140876986/,Current manual-coverage Facebook event
instagram,https://www.instagram.com/p/DVn5jSriOv9/,Development Instagram event post
instagram,https://www.instagram.com/p/DV7TkC6gVvP/,Development Instagram event post
instagram,https://www.instagram.com/p/DVZsZicAc9y/,Development Instagram event post
instagram,https://www.instagram.com/p/DPHME2UEVjy/,Development Instagram event post
instagram,https://www.instagram.com/p/DIw1OBcN5ow/,Holdout Instagram event post
eventbrite,https://www.eventbrite.ca/e/soberfest-tickets-1984320657503?aff=ebdssbdestsearch,Current manual-coverage Eventbrite event
eventbrite,https://www.eventbrite.ca/e/singles-salsa-mixer-night-tickets-1993028334399?aff=ebdssbdestsearch,Current manual-coverage Eventbrite event
eventbrite,https://www.eventbrite.com/e/skinny-dyck-at-cobblestone-pub-tickets-1992569900210?aff=ebdssbdestsearch,Current manual-coverage Eventbrite event
eventbrite,https://www.eventbrite.com/e/goth-nite-blacklight-tickets-1996061932974?aff=ebdssbdestsearch,Current manual-coverage Eventbrite event
eventbrite,https://www.eventbrite.ca/e/8th-victoria-international-kizomba-festival-bachata-salsa-kizomba-konpa-tickets-1987025370372?aff=ebdssbdestsearch,Current Eventbrite dance event
