Group_ID,event_id,source,dance_style,url,event_type,event_name,price,location,address_id,description,time_stamp,Predicted Label,Score,,
1,2481,Victoria Latin Dance Association,"salsa, bachata, kizomba, merengue",https://www.google.com/calendar/event?eid=NHU0OTdicXMzOWg2OWk1b243bnFzb3NvYWhfMjAyNTAyMTVUMDMzMDAwWiAxN2RlMmNhNDNmNTI1Yzg3MDU4ZmZhZmUxZjAyMDZkYTgyYTE5ZDAwYTg1YTZhZTk3OWFkNmJiNjE4ZGNkOGFlQGc,social dance,Swing City,12,"Victoria Edelweiss Club, 108 Niagara St, Victoria, BC V8V 1E9, Canada",891,"http://www.victoriaedelweiss.ca/events/ ALL AGES WELCOME! 7:30pm-8:30pm - Ballroom workshop 8:30pm -10:30pm Swing, West Coast Swing, Latin, &amp; Ballroom Dancing Admissions $12 or $10 for Edelweiss Club members and students.",06:54.7,0,1,,
1,5307,John de Pfyffer,Rumba,dancevictoria1@shaw.ca,workshop,Rumba Workshop with John,$12/$10,"Victoria Edelweiss Club, 108 Niagara St",NULL,Rumba workshop. Cash only.,51:45.1,0,1,,
1,5273,John de Pfyffer,Rumba,dancevictoria1@shaw.ca,workshop,Dance City Valentine's Rumba Workshop with John,,"Victoria Edelweiss Club, 108 Niagara St",NULL,NULL,38:47.6,1,1,,
1,5212,John de Pfy,Rumba,dancevictoria1@shaw.ca,social dance,Valentine's Day Dance,$12/$10 members,"Victoria Edelweiss Club, 108 Niagara St",NULL,Celebrate Valentine's Day with a Rumba workshop and dance the night away.,54:04.7,0,0,,
1,5329,John de Pfyffer,,dancevictoria1@shaw.ca,social dance,Dance City Ballroom Dance,$12/$10 members,"Victoria Edelweiss Club, 108 Niagara St",NULL,Workshop: Rumba with John at 19:30; Dance: 20:30 to 22:30; Dance Floor: Large/Hardwood; (Cash Only),12:16.1,0,0,,
1,5029,Victoria Ballroom Dance Society,swing,https://vbds.org/other-dancing-opportunities/,workshop,Swing City Social Dance Workshop,,Victoria Edelweiss Club,NULL,"General dancing from 19:30 to 20:30, followed by additional activities until 22:30.",56:20.2,1,1,,
2,3962,Red Hot Swing,"swing, balboa, lindy hop, east coast swing",https://www.google.com/calendar/event?eid=bTZkbThhbjlsaTdtdWRrNzduNWRyY25obWVfMjAyNTAyMTVUMDQwMDAwWiA3OWNmcDNhc2Y3Ym9kOXE0aWNnYzRydHRub0Bn,social dance,Intro lesson,NULL,"Dance Victoria, 2750 Quadra St, Victoria, BC V8T 4E8, Canada",5,"If you are brand new to swing dancing, come join us for a drop-in introductory lesson before our Friday night social dance begins!",56:33.3,0,1,,
2,2482,Victoria Latin Dance Association,"salsa, bachata, kizomba, merengue",https://www.google.com/calendar/event?eid=b2djYmR0cjlidDk3M2lwcTVzNTBmZm90bmxfMjAyNTAyMTVUMDQwMDAwWiAxN2RlMmNhNDNmNTI1Yzg3MDU4ZmZhZmUxZjAyMDZkYTgyYTE5ZDAwYTg1YTZhZTk3OWFkNmJiNjE4ZGNkOGFlQGc,social dance,Red Hot Swing w live band,18,"Dance Victoria, 2750 Quadra St, Victoria, BC V8T 4E8, Canada",5,"Swing dancing with live music every Friday at Dance Victoria with Red Hot Swing. Intro class from 8-8:45 followed by social dancing to live music until 11:30. $18 entry, $15 for students https://www.redhotswing.com/",06:54.7,0,1,,
3,3963,Red Hot Swing,"swing, balboa, lindy hop, east coast swing",https://www.google.com/calendar/event?eid=YmV0N25yMjZhZHM3czhkNmRsdGF1NnI4MDNfMjAyNTAyMTVUMDUwMDAwWiA3OWNmcDNhc2Y3Ym9kOXE0aWNnYzRydHRub0Bn,social dance,Friday Social Dance at Dance Victoria,NULL,"Dance Victoria, 2750 Quadra St, Victoria, BC V8T 4E8, Canada",5,Dance time! Details at http://www.redhotswing.com/?page_id=22,56:33.3,0,1,,
3,2867,,"salsa, merengue, bachata",https://www.eventbrite.ca/e/grand-opening-candela-fridays-valentines-edition-tickets-1210248900039?aff=ebdssbdestsearch,social dance,"GRAND OPENING ""CANDELA FRIDAYS"" VALENTINES EDITION",CA$22.63,"Mojitos Pub 12411 King George Boulevard Surrey, BC V3V 3K3",2216,"Join us to celebrate Valentine's Day with the grand opening of Candela Fridays. Enjoy live performances by @mariachitabasko and @sonorakings and dance salsa, merengue, bachata, and more.",34:28.0,0,1,,
