event_id,event_name,dance_style,description,day_of_week,start_date,end_date,start_time,end_time,source,location,price,url,event_type,address_id,time_stamp
1,Country Two-Step/West Coast Swing Fusion,"two-step, west coast swing",Country Two-Step/West Coast Swing Fusion class followed by social dancing.,Thursday,2025-10-23,2025-10-23,19:30:00,21:45:00,DJ Dancing Dean,"Pro Pat Legion, 411 Gorge, CA",$12,djdancingdean@39679421.mailchimpapp.com,"class, social dance",1,2025-10-18 17:58:56.550638
2,Halloween Party,"partner dances, mixers, 16-Step Cowboy Cha Cha","Halloween Party with partner dances, mixers, 16-Step Cowboy Cha Cha, and social dancing.",Thursday,2025-10-30,2025-10-30,19:30:00,21:45:00,DJ Dancing Dean,"Pro Pat Legion, 411 Gorge, CA",$12,djdancingdean@39679421.mailchimpapp.com,social dance,1,2025-10-18 17:58:56.550638
3,West Coast Swing Series,west coast swing,5-week West Coast Swing series for advanced beginners to intermediate dancers.,Thursday,2025-10-01,2025-10-29,19:00:00,21:00:00,DJ Dancing Dean,"Centennial United Church, 612 David, CA",$100,djdancingdean@39679421.mailchimpapp.com,class,2,2025-10-18 17:58:56.550638
4,Oktoberfest,salsa,Saturday tickets are already sold out for Oktoberfest.,Saturday,2025-10-25,2025-10-25,18:00:00,23:00:00,Dance Victoria,"Victoria Edelweiss Club, 108 Niagara, CA",Various prices,dancevictoria1@shaw.ca,social dance,4,2025-10-18 17:59:23.629116
5,WCS Dance,west coast swing,West Coast Swing dance event.,Saturday,2025-10-25,2025-10-25,19:00:00,22:00:00,Dance Victoria,"2750 Quadra, CA",$15,dancevictoria1@shaw.ca,social dance,6,2025-10-18 17:59:23.629116
6,Halloween Dance,,"Halloween Dance with costume prizes and treats. 7PM Swing lesson with John, 7:45PM Social Dancing to Ballroom, Latin, and Swing music, 8:30 PM Thriller workshop with John.",Friday,2025-10-31,2025-10-31,18:30:00,22:00:00,Dance Victoria,"Victoria Edelweiss Club, 108 Niagara, CA",$15/person or $10 in advance,dancevictoria1@shaw.ca,social dance,4,2025-10-18 17:59:23.629116
7,Dance City,,This event has been canceled.,Friday,2025-10-24,2025-10-24,,,Dance Victoria,"Dance City, Unknown, BC, CA",,dancevictoria1@shaw.ca,canceled,482,2025-10-18 17:59:23.629116
8,Oktoberfest,,Oktoberfest event featuring the S-Bahn Band.,Friday,2025-10-24,2025-10-24,18:00:00,23:00:00,Dance Victoria,"Victoria Edelweiss Club, 108 Niagara, CA",Various prices,dancevictoria1@shaw.ca,social dance,4,2025-10-18 17:59:23.629116
9,WCS Dance,west coast swing,West Coast Swing dance event. Free for those currently registered in a wcs class.,Tuesday,2025-10-21,2025-10-21,19:45:00,21:45:00,Dance Victoria,"Eastern Star Hall, 3281 Harriet, CA",$7,dancevictoria1@shaw.ca,social dance,5,2025-10-18 17:59:23.629116
10,WCS Dance,west coast swing,West Coast Swing dance event with a workshop at 7pm and dance from 8-10pm.,Saturday,2025-10-18,2025-10-18,19:00:00,22:00:00,Dance Victoria,"2750 Quadra, CA",$15,dancevictoria1@shaw.ca,social dance,6,2025-10-18 17:59:23.629116
11,VBDS Ballroom Dance,,Ballroom dance event.,Saturday,2025-10-18,2025-10-18,19:00:00,21:45:00,Dance Victoria,"Les Passmore Centre, CA",$15/$12 members,dancevictoria1@shaw.ca,social dance,133,2025-10-18 17:59:23.629116
12,Barn/Fiddle Dance,,All ages event. No experience necessary. All steps will be taught.,Friday,2025-10-17,2025-10-17,19:00:00,21:30:00,Dance Victoria,"Victoria Edelweiss Club, 108 Niagara, CA",$12/$10 members & Students,dancevictoria1@shaw.ca,social dance,4,2025-10-18 17:59:23.629116
