source,keywords,link
Dancing in the Comox Valley,"2-step,  cha cha, double shuffle, country waltz, line dance, night club, nite club, nite club 2, nite club two, two step, west coast swing, wcs",https://www.facebook.com/groups/dancinginthecomoxvalley/
The Music Sound,"2-step,  cha cha, double shuffle, country waltz, line dance, night club, nite club, nite club 2, nite club two, two step, west coast swing, wcs",https://philpapers.org/archive/NICTMS-2.pdf
None,"2-step,  cha cha, double shuffle, country waltz, line dance, night club, nite club, nite club 2, nite club two, two step, west coast swing, wcs",https://sclhresidents.com/documents/20124/175331/Jan_2019.pdf
Chorégraphies,"2-step,  cha cha, double shuffle, country waltz, line dance, night club, nite club, nite club 2, nite club two, two step, west coast swing, wcs",https://www.speedirene.com/chores.php?r=1
None,"2-step,  cha cha, double shuffle, country waltz, line dance, night club, nite club, nite club 2, nite club two, two step, west coast swing, wcs",http://web.mit.edu/~jik/src/Attic/kerberos_password_hacker/allwords
None,"2-step,  cha cha, double shuffle, country waltz, line dance, night club, nite club, nite club 2, nite club two, two step, west coast swing, wcs",https://nlp.stanford.edu/~lmthang/morphoNLM/cwCsmRNN.words
None,"2-step,  cha cha, double shuffle, country waltz, line dance, night club, nite club, nite club 2, nite club two, two step, west coast swing, wcs",ftp://ftp.cs.princeton.edu/pub/cs226/autocomplete/words-333333.txt
None,"2-step,  cha cha, double shuffle, country waltz, line dance, night club, nite club, nite club 2, nite club two, two step, west coast swing, wcs",https://snap.berkeley.edu/project/13128922
None,"2-step,  cha cha, double shuffle, country waltz, line dance, night club, nite club, nite club 2, nite club two, two step, west coast swing, wcs",https://www.worldradiohistory.com/UK/Melody-Maker/50s/Melody-Maker-1955-08.pdf
None,"2-step,  cha cha, double shuffle, country waltz, line dance, night club, nite club, nite club 2, nite club two, two step, west coast swing, wcs",https://osf.io/s95uj/?action=download
Kizomba Victoria,"kizomba, urban kiz, semba, tarraxo, tarraxa, tarraxinha, douceur",https://www.facebook.com/groups/265269613666246/
Victoria International KizombaFestival,"kizomba, urban kiz, semba, tarraxo, tarraxa, tarraxinha, douceur",https://www.instagram.com/vic_international_kizomba_fest/?locale=zh-hans&hl=bn
Latin Dance Canada,"salsa, bachata, kizomba, merengue, cha cha cha",https://latindancecanada.com/
None,"salsa, bachata, kizomba, merengue, cha cha cha",https://www.facebook.com/groups/1744359399094119/posts/2589861774543873/
Salsa Moderna,"salsa, bachata, kizomba, merengue, cha cha cha",https://latinvictoria.ca/
Dancing in Nanaimo,"salsa, bachata, kizomba, merengue, cha cha cha",https://www.facebook.com/groups/dancinginnanaimo/
Paso Doble Dance Studios,"salsa, bachata, kizomba, merengue, cha cha cha",https://thedancestudiofinder.com/dance-studios/categories/paso-doble/
"Caliente Salsa Saturdays , Studio 4 Athletics","salsa, bachata, kizomba, merengue, cha cha cha",https://allevents.in/victoria/caliente-salsa-saturdays/200027795970701
Slow Dance Dance Studios,"salsa, bachata, kizomba, merengue, cha cha cha",https://thedancestudiofinder.com/dance-studios/categories/slow-dance/
