source,keywords,link
Red Hot Swing,"swing, balboa, lindy hop, east coast swing",https://www.redhotswing.com/
Victoria Latin Dance Association,"salsa, bachata, kizomba, merengue",https://vlda.ca/resources/
Salsa Caliente,"salsa, bachata, kizomba, merengue, cha cha cha",https://calientedance.com/classes/
Salsa Caliente,"salsa, bachata, kizomba, merengue, cha cha cha",https://calientedance.com/
Latin Dance Canada,"salsa, bachata, kizomba, merengue, cha cha cha",https://latindancecanada.com/
Victoria Kizomba Lovers Group,"kizomba, urban kiz, semba, tarraxo, tarraxa, tarraxinha, douceur",https://www.facebook.com/groups/1634269246863069/
Kizomba Victoria,"kizomba, urban kiz, semba, tarraxo, tarraxa, tarraxinha, douceur",https://www.facebook.com/groups/265269613666246/
Victoria Dance Events,"salsa, bachata, kizomba, merengue, cha cha cha",https://www.facebook.com/groups/3158235040/
Uvic Cuban Salsa Club,"cuban salsa, rueda, salsa",https://www.facebook.com/groups/cubansalsaclub/
Uvic Cuban Salsa Club,"cuban salsa, rueda, salsa",https://www.facebook.com/groups/245161325497073/user/61552396445868/
Victoria Zouk Collective Group,zouk,https://www.facebook.com/groups/895697871649474/
Bachata and Zouk with Javi in Victoria ,"bachata, zouk",https://www.facebook.com/Sabor.Asi.Dance.Salsa.Victoria/
Alive Tango,"argentine tango, milonga, tango",https://alivetangovictoria.ca/
Westie Inspiration,"west coast swing, wcs",https://www.facebook.com/groups/264289526206205/
Victoria Latin Dance Association,"salsa, bachata, kizomba, merengue",https://www.facebook.com/groups/841245344232320/
Robson Square Summer Dance Series ,"cha cha, waltz, tango, west coast swing",https://www.dancesportbc.com/events/robsonsquare/?fbclid=IwY2xjawLTAHBleHRuA2FlbQIxMABicmlkETFKV3lGUGV2WlVXaWNCbTlhAR5vbwV_Yx8Je4ckk1eOPIJ6HyTT0A1XDFMvC5lk-COphmSaJD-mMuY98_0cFQ_aem_hYFwFEGvCv6qJTwzPayf4g
Government House British Columbia,"live music, swing, west coast swing",https://ltgov.bc.ca/government-house-public-events/
