source,keywords,link
Alive Tango Victoria – Argentine Tango in Victoria BC,argentine tango,https://alivetangovictoria.ca/
Alive Tango Victoria | Facebook,argentine tango,https://www.facebook.com/groups/alivetango/
"Island Embrace – Tango Marathon in Victoria, BC",argentine tango,https://islandembrace.ca/
Tango Vancouver Island | Facebook,argentine tango,https://www.facebook.com/groups/TangoVanIsle/
Tango Vita - Get to Know Your Arts Community,argentine tango,https://artsvictoria.ca/tangovita
Symphony Story Time: Effie the Singing Elephant,argentine tango,https://victoriasymphony.ca/concerts/symphony-storytime-effie-the-singing-elephant/
Arthur Murray Victoria: Ballroom Dance Lessons,argentine tango,https://victoriaarthurmurray.com/
Mozart Violin Concerto No. 1 & Dvořák Czech Suite - Victoria ...,argentine tango,https://victoriasymphony.ca/concerts/mozart-violin-concerto-no-1-dvorak-czech-suite/
Bachata Nights Victoria BC - Facebook,bachata,https://www.facebook.com/p/Bachata-Nights-Victoria-BC-61565875748985/
"Salsa Moderna: Afro-Latin dance Lessons - Salsa, Bachata, Kizomba",bachata,http://latinvictoria.ca/
Bachata Canada | Victoria BC - Facebook,bachata,https://www.facebook.com/bachatacanada/
"Latin Dance Canada: Salsa and Bachata classes in Victoria, BC",bachata,https://latindancecanada.com/
"Hire Latin & Mariachi Bands in Victoria, British Columbia, Canada",bachata,https://www.gigheaven.com/search/latin-salsa-mariachi-entertainment/canada/victoria.html
Canadian Zouk Congress 2024 with some of the Vancouver crew It's ...,bachata,https://www.instagram.com/p/C7Ie5Vqre8Q/
Victoria Latin Dance Association (@victorialatindanceassociation),bachata,https://www.instagram.com/victorialatindanceassociation/?hl=en
Victoria International Kizomba Festival 7th Edition,bachata,https://kizomba-world.com/event/victoria-international-kizomba-festival-7th-edition/
"Swing Social: Balboa with Matt and Angie - February 8, 2020",balboa,https://www.swingvictoria.net/events/past-events/swing-social-balboa-with-matt-and-angie-february-8-2020
Salsa Caliente | Victoria BC - Facebook,cha cha,https://www.facebook.com/calientedance/
Line dancing classes for beginners in Esquimalt - Facebook,country swing,https://www.facebook.com/groups/EsquimaltResidents/posts/10174183942375529/
Country Dance Lessons Victoria | Arthur Murray Dance Studio Victoria,country waltz,https://victoriaarthurmurray.com/country-dance-lessons-victoria
Victoria Dance Events | Facebook,dance,https://www.facebook.com/groups/3158235040/
"Red Hot Swing – Walk in, swing out!",east coast swing,https://www.redhotswing.com/
Victoria West Coast Swing Collective | Facebook,east coast swing,https://www.facebook.com/groups/victoriawestcoastswingcollective/
The Jive Big Band | Victoria BC - Facebook,jive,https://www.facebook.com/jivebigband/
Victoria International Kizomba Festival 7th Edition,kizomba,https://kizomba-world.com/event/victoria-international-kizomba-festival-7th-edition/
Victoria International KizombaFestival ... - Instagram,kizomba,https://www.instagram.com/vic_international_kizomba_fest/?hl=en
7th Victoria International Kizomba Festival: Bachata & Kizomba,kizomba,https://www.eventbrite.ca/e/7th-victoria-international-kizomba-festival-bachata-kizomba-tickets-1395057918789
Victoria Kizomba Lovers Group | Facebook,kizomba,https://www.facebook.com/groups/1634269246863069/
Afro-Latin Cultural Exchange Society: Home,kizomba,https://alces.world/
Kizomba Victoria BC (@KizombaVictoriaBC) - Facebook,kizomba,https://www.facebook.com/KizombaVictoriaBC/
"Salsa Moderna: Afro-Latin dance Lessons - Salsa, Bachata, Kizomba",kizomba,http://latinvictoria.ca/
Free Beginner Kizomba Class and Social - sabaki.dance,kizomba,https://sabaki.dance/event/554a3ff1-f114-4bee-aeb8-2457a0f86f06
"Red Hot Swing – Walk in, swing out!",lindy hop,https://www.redhotswing.com/
"Red Hot Swing - Lindy Hop in Victoria, BC - Facebook",lindy hop,https://www.facebook.com/RedHotSwing/
Argentine Tango Dance Events in Canada for 2025 | Danceplace,lindy hop,https://www.danceplace.com/events/in/2025/Argentine+Tango/Canada/-
Line dancing classes for beginners in Esquimalt - Facebook,line dance,https://www.facebook.com/groups/EsquimaltResidents/posts/10174183942375529/
Line Dancing Classes - McTavish Academy Of Art,line dance,https://mctavishacademy.ca/dance-studio/line-dancing-classes/
"TOP 10 BEST Line Dancing in Victoria, BC - Updated 2026 - Yelp",line dance,https://www.yelp.ca/search?find_desc=Line+Dancing&find_loc=Victoria%2C+BC
Harvest Moon Line Dance Festival - Home,line dance,https://harvestmoonlinedancefestival.ca/
Music in Victoria Today - Do250,live music,https://do250.com/events/music/today
"Harpo's, The Limit Vertigo & La Hacienda! Victoria BC Live Music ...",live music,https://www.facebook.com/groups/204657346300791/
"Hire Latin & Mariachi Bands in Victoria, British Columbia, Canada",merengue,https://www.gigheaven.com/search/latin-salsa-mariachi-entertainment/canada/victoria.html
Today is the day! Join us for our free outdoor Merengue class with ...,merengue,https://www.instagram.com/p/DLzyUQyvpIQ/
Alive Tango Victoria – Argentine Tango in Victoria BC,milonga,https://alivetangovictoria.ca/
Alive Tango Victoria | Facebook,milonga,https://www.facebook.com/groups/alivetango/
"Island Embrace – Tango Marathon in Victoria, BC",milonga,https://islandembrace.ca/
Alive Tango Victoria – Argentine Tango in Victoria BC,milonga tango,https://alivetangovictoria.ca/
Tango Vancouver Island | Facebook,milonga tango,https://www.facebook.com/groups/TangoVanIsle/
"Island Embrace – Tango Marathon in Victoria, BC",milonga tango,https://islandembrace.ca/
Alive Tango Victoria | Facebook,milonga tango,https://www.facebook.com/groups/alivetango/
to dance Tango Argentino - Milongas in any city,milonga tango,https://milongas-in.com/milongas-in-america.php?c=Canada&city=Montreal
to dance Tango Argentino - Calgary - Milongas in any city,milonga tango,https://milongas-in.com/milongas-in-america.php?c=Canada&city=Calgary
to dance Tango Argentino - Toronto - Milongas in any city,milonga tango,https://milongas-in.com/milongas-in-america.php?c=Canada&city=Toronto
Phillips Backyard,music festivals,https://www.phillipsbackyard.com/
"Discover Music Festival Events & Activities in Victoria, Canada",music festivals,https://www.eventbrite.com/d/canada--victoria/festivals/music-festival/
Summer Entertainment Calendar - The Butchart Gardens,outdoor music,https://butchartgardens.com/summer-entertainment-calendar/
"99 Days of Live Music | Victoria, BC - Do250",outdoor music,https://do250.com/p/99-days
Upcoming Competitions - Victoria Ballroom Dance Society,quickstep,https://vbds.org/upcoming-competitions/
Quickstep - The Dance Studio Finder,quickstep,https://thedancestudiofinder.com/dance-studios/categories/quickstep/
Musicians in Victoria BC - Facebook,rumba,https://www.facebook.com/groups/victoriabcmusicians/posts/26585221481069692/
Union Latinos Vancouver on Instagram,rumba,https://www.instagram.com/p/DTqU1PWANQ1/?hl=en
Victoria Events | Facebook,rumba,https://www.facebook.com/groups/210291109355538/
colombian summer rumba party! - AllEvents,rumba,https://allevents.in/victoria/colombian-summer-rumba-party/200030402138701
"Hire Latin & Mariachi Bands in Victoria, British Columbia, Canada",rumba,https://www.gigheaven.com/search/latin-salsa-mariachi-entertainment/canada/victoria.html
Salsa Caliente | Victoria BC - Facebook,salsa,https://www.facebook.com/calientedance/
"Hire Latin & Mariachi Bands in Victoria, British Columbia, Canada",salsa,https://www.gigheaven.com/search/latin-salsa-mariachi-entertainment/canada/victoria.html
"Latin Dance Canada: Salsa and Bachata classes in Victoria, BC",salsa,https://latindancecanada.com/
Salsa Festival Victoria Aug 1st. & 2nd. - Party in Victoria - AdmitONE,salsa,https://admitone.com/events/victoria/community/party/salsa-festival-victoria-aug-1st-2nd/NIFEE7
"Tango and samba dance classes in Victoria, BC - Facebook",samba,https://www.facebook.com/groups/210291109355538/posts/2756193254765298/
Victoria Kizomba Lovers Group | Facebook,semba,https://www.facebook.com/groups/1634269246863069/
Victoria International Kizomba Festival 7th Edition,semba,https://kizomba-world.com/event/victoria-international-kizomba-festival-7th-edition/
Kizomba Victoria BC (@KizombaVictoriaBC) - Facebook,semba,https://www.facebook.com/KizombaVictoriaBC/
Victoria International KizombaFestival ... - Instagram,semba,https://www.instagram.com/vic_international_kizomba_fest/?hl=en
About Us - Afro-Latin Cultural Exchange Society,semba,https://alces.world/about-us/
Victoria West Coast Swing Collective | Facebook,swing,https://www.facebook.com/groups/victoriawestcoastswingcollective/
Alive Tango Victoria – Argentine Tango in Victoria BC,tango,https://alivetangovictoria.ca/
Alive Tango Victoria | Facebook,tango,https://www.facebook.com/groups/alivetango/
Tango Vancouver Island | Facebook,tango,https://www.facebook.com/groups/TangoVanIsle/
"Island Embrace – Tango Marathon in Victoria, BC",tango,https://islandembrace.ca/
Country Dance Lessons Victoria | Arthur Murray Dance Studio Victoria,two step,https://victoriaarthurmurray.com/country-dance-lessons-victoria
Victoria Kizomba Lovers Group | Facebook,urban kiz,https://www.facebook.com/groups/1634269246863069/
Victoria International Kizomba Festival 7th Edition,urban kiz,https://kizomba-world.com/event/victoria-international-kizomba-festival-7th-edition/
Victoria International KizombaFestival ... - Instagram,urban kiz,https://www.instagram.com/vic_international_kizomba_fest/?hl=en
Afro-Latin Cultural Exchange Society: Home,urban kiz,https://alces.world/
KIZOMBA and URBAN KIZ ARTISTS: JP & Stephy (Paris ... - Instagram,urban kiz,https://www.instagram.com/p/DWeprQLmvYM/
Victoria Kizomba Summer Social - sabaki.dance,urban kiz,https://sabaki.dance/event/10c41217-20d1-4ecc-bb94-46e8302681c8
Victoria Ballroom Dance Society – VBDS,waltz,https://vbds.org/
Victoria West Coast Swing Collective | Facebook,wcs,https://www.facebook.com/groups/victoriawestcoastswingcollective/
Victoria West Coast Swing Collective | Facebook,west coast swing,https://www.facebook.com/groups/victoriawestcoastswingcollective/
Victoria West Coast Swing Dancing | Facebook,west coast swing,https://www.facebook.com/groups/victoriawesties/
West Coast Swing - Victoria Ballroom Dance Society,west coast swing,https://vbds.org/dances/west-coast-swing/
"Red Hot Swing – Walk in, swing out!",west coast swing,https://www.redhotswing.com/
Victoria Zouk Collective Group | Facebook,zouk,https://www.facebook.com/groups/895697871649474/
Canadian Zouk Congress 2024 with some of the Vancouver crew It's ...,zouk,https://www.instagram.com/p/C7Ie5Vqre8Q/
Bachata and Zouk with Javi in Victoria (@Sabor.Asi.Dance.Salsa ...,zouk,https://www.facebook.com/Sabor.Asi.Dance.Salsa.Victoria/
Zouk practica and social - AllEvents,zouk,https://allevents.in/victoria/zouk-practica-and-social/200030443898023
Argentine Tango Dance Events in Canada for 2025 | Danceplace,zouk,https://www.danceplace.com/events/in/2025/Argentine+Tango/Canada/-
