org_names,keywords,links
Victoria International KizombaFestival,"kizomba, urban kiz, semba, tarraxo, tarraxa, tarraxinha, douceur",https://www.instagram.com/vic_international_kizomba_fest/
Kizomba Victoria,"kizomba, urban kiz, semba, tarraxo, tarraxa, tarraxinha, douceur",https://www.facebook.com/groups/265269613666246/
Paso Doble Dance Studios,"salsa, bachata, kizomba, merengue, cha cha cha",https://thedancestudiofinder.com/dance-studios/categories/paso-doble/
Latin Dance Canada,"salsa, bachata, kizomba, merengue, cha cha cha",https://latindancecanada.com/our-family/
Salsa Moderna,"salsa, bachata, kizomba, merengue, cha cha cha",https://latinvictoria.ca/
Latin Dance Canada,"salsa, bachata, kizomba, merengue, cha cha cha",https://latindancecanada.com/
Latin Dancing Festivals in Canada (Updated 2025),"salsa, bachata, kizomba, merengue, cha cha cha",https://latindancecalendar.com/festivals/location/canada/
"Strictly Lindy Hop Swing Vancouver, BC","swing, balboa, lindy hop, east coast swing",https://www.facebook.com/groups/strictlylindy/
Red Hot Swing,"swing, balboa, lindy hop, east coast swing",https://www.redhotswing.com/
Harbourside Swing,"swing, balboa, lindy hop, east coast swing",https://www.facebook.com/groups/harboursideswing/
East Coast Swing Dance Studios,"swing, balboa, lindy hop, east coast swing",https://thedancestudiofinder.com/dance-studios/categories/east-coast-swing/
Lindy Cruise,"swing, balboa, lindy hop, east coast swing",https://lindycruise.com/schedule/
Victoria West Coast Swing Collective,"west coast swing, wcs",https://www.facebook.com/groups/victoriawestcoastswingcollective/
Victoria West Coast Swing Collective Society,"west coast swing, wcs",https://www.victoriawestcoastswing.com/
Victoria West Coast Swing Dancing,"west coast swing, wcs",https://www.facebook.com/groups/victoriawesties/
Victoria West Coast Swing Collective Society,"west coast swing, wcs",https://www.victoriawestcoastswing.com/new-page-3
Improv West Coast Swing,"west coast swing, wcs",https://www.instagram.com/coachgabrielshaw/p/CRU6v-hJMuY/
