org_name,dance_style,url,event_type,event_name,day_of_week,start_date,end_date,start_time,end_time,price,location,description
,,,social dance,Winter Wonderland Catered Christmas Dinner and Dance,Sunday,2024-12-29,2024-12-29,15:15,22:00,,,
,,,,Thursdays Practica: Winter series,Thursday,2025-01-02,2025-01-02,19:30,22:30,,,
Za Thomaier,,,social dance,Za Thomaier in Victoria,Friday,2025-02-07,2025-02-07,19:00,,,Victoria,
,,,,Lights of Wonder,Saturday,2024-12-28,2024-12-28,16:00,23:45,,,
,,,,Festival of Trees Victoria,Saturday,2024-12-28,2024-12-28,10:00,17:00,,,
Ali,,,,COLOMBIAN WHITE PARTY,Saturday,2024-12-28,2024-12-28,19:00,00:00,,,Live Colombian Band “Parrandón Vallenato”
The downbeat event centre,,https://www.eventbrite.ca/.../basement-sessions-tickets...,social dance,Basement Sessions with Truly Magic & Friends,Saturday,2024-12-28,2024-12-28,21:00,02:00,,"1325 Government St., Victoria, BC, Canada, British Columbia V8W 1M5","Basements sessions presents, Truly Magic and friends."
Garth Live,,,,Garth Live 3 Hour Vinyl Set,Saturday,2025-02-22,2025-02-22,20:00,,,"1325 Government St, Victoria, BC V8W 1Y9, Canada",
The Downbeat,,,,New Years Eve @ The Downbeat!!!,Tuesday,2024-12-31,2024-12-31,20:00,,,"1325 Government St., Victoria, BC, Canada, British Columbia V8W 1M5",
,,,,Van Isle DJ Competition,Thursday,2025-01-30,2025-01-30,20:00,,,"1325 Government St., Victoria, BC, Canada, British Columbia V8W 1M5",
VWCSC,,,dance party,New Year’s Eve Social Dance Party,Tuesday,2024-12-31,2024-12-31,20:30,,,Eastern Star Hall Chapters No 5 & No 17,
,,,,New Years Latin Party,Tuesday,2024-12-31,2024-12-31,20:00,,,"3703 St Aidan's St, Saanich, BC V8P 2V7, Canada",
SDN,salsa,,,2025 New Year's Masquerade Salsa Social,Saturday,2024-12-28,2024-12-28,20:30,,,"3922 Corunna Ave, Nanaimo, BC, V9T 3J7, Canada",
