group_id_x,event_id,event_name,event_type,source,dance_style,url,price,location,address_id,description,time_stamp,group_id_y,Label
1,609,Hertfordshire – Bedfordshire Wednesday 20:00 – 22:00 Intermediates,class,Canada | Nuline Dance | Line Dancing and Other Dances,,https://www.nulinedance.com/my-classes/united-kingdom/england/,,"Larwood School, Web Rise, STEVENAGE SG1 5QU",,,2025-02-17 00:29:05.042187,1,0
1,620,Merseyside Wednesday 20:00 – 22:00 All Levels,class,Canada | Nuline Dance | Line Dancing and Other Dances,,https://www.nulinedance.com/my-classes/united-kingdom/england/,,"The Manor Bowling Club, South Avenue, PRESCOT",,,2025-02-17 00:29:05.042187,1,0
2,598,Bolton (Greater Manchester) & Preston (Lancashire) Wednesday 20:00 – 23:00 Imp/Inter/Adv,class,Canada | Nuline Dance | Line Dancing and Other Dances,,https://www.nulinedance.com/my-classes/united-kingdom/england/,,"Lostock Hall Conservative Club, Lostock Hall , PRESTON PR5 5AA",,,2025-02-17 00:29:05.042187,2,0
2,643,"Leicester, Northampton, Staffordshire Wednesday (Neville) 20:00 – 23:00 Inter/Adv",class,Canada | Nuline Dance | Line Dancing and Other Dances,,https://www.nulinedance.com/my-classes/united-kingdom/england/,,"Norton Canes Community Centre, Browhills Rd, Norton Canes, Staffordshire WS11 9SF",,,2025-02-17 00:29:05.042187,2,0
3,190,Newcomer 4,class,Victoria Ballroom Dance Society,,https://vbds.org/other-dancing-opportunities/,,Les Passmore Centre,,Newcomer 4,2025-02-16 23:32:25.151406,3,0
3,191,Bronze 3,class,Victoria Ballroom Dance Society,,https://vbds.org/other-dancing-opportunities/,,Centennial United Church Dance Studio,,Bronze 3,2025-02-16 23:32:25.151406,3,0
4,599,Bolton (Greater Manchester) & Preston (Lancashire) Thursday 19:30 – 23:00 Beg/Imp – Inter/Adv,class,Canada | Nuline Dance | Line Dancing and Other Dances,,https://www.nulinedance.com/my-classes/united-kingdom/england/,,"Astley Bridge Conservative Club, Astley Bridge , BOLTON BL1 8NP",,,2025-02-17 00:29:05.042187,4,0
4,634,Burntwood (Staffordshire) Thursday 19:30 – 21:00 – Easy Inter 21:00 23:00 Inter,class,Canada | Nuline Dance | Line Dancing and Other Dances,,https://www.nulinedance.com/my-classes/united-kingdom/england/,,"St Matthews Sports & Social Club, St Matthews Road, Burntwood , Staffs WS7 9EP",,,2025-02-17 00:29:05.042187,4,0
5,610,Hertfordshire – Bedfordshire Thursday 20:00 – 22:00 – Intermediates,class,Canada | Nuline Dance | Line Dancing and Other Dances,,https://www.nulinedance.com/my-classes/united-kingdom/england/,,"The Weatherly Center, Eagles Farm Road, BIGGLESWADE SG18 8JH",,,2025-02-17 00:29:05.042187,5,0
5,638,Shropshire & West Midlands Thursday 20:00 – 22:00 Beg/Imp,class,Canada | Nuline Dance | Line Dancing and Other Dances,,https://www.nulinedance.com/my-classes/united-kingdom/england/,,"Preston Brockhurst Village Hall, Nr SHREWSBURY , SY4 5QA",,,2025-02-17 00:29:05.042187,5,0
