keyword,timestamp
argentine tango,2025-07-09 11:13:51
bachata,2025-07-09 11:22:30
balboa,2025-07-09 11:24:52
cha cha,2025-07-09 11:28:37
country waltz,2025-07-09 11:31:41
dance,2025-07-09 11:36:39
double shuffle,2025-07-09 11:38:39
east coast swing,2025-07-09 11:42:27
foxtrot,2025-07-09 11:46:34
jive,2025-07-09 11:48:16
kizomba,2025-07-09 11:49:57
lindy hop,2025-07-09 11:52:41
line dance,2025-07-09 11:53:48
live music,2025-07-09 11:56:55
merengue,2025-07-09 12:06:29
milonga,2025-07-09 12:08:35
milonga tango,2025-07-09 12:10:01
music festivals,2025-07-09 12:11:14
nite club two,2025-07-09 12:12:57
outdoor music,2025-07-09 12:14:25
quickstep,2025-07-09 12:15:29
rumba,2025-07-09 12:18:55
salsa,2025-07-09 12:21:03
samba,2025-07-09 12:21:49
semba,2025-07-09 12:24:44
swing,2025-07-09 12:27:35
tango,2025-07-09 12:28:53
two step,2025-07-09 12:29:41
urban kiz,2025-07-09 12:30:48
waltz,2025-07-09 12:33:36
wcs,2025-07-09 12:34:56
west coast swing,2025-07-09 12:36:06
zouk,2025-07-09 12:39:28
