file_name,start_time_df,events_count_start,urls_count_start,events_count_end,urls_count_end,new_events_in_db,new_urls_in_db,time_stamp,elapsed_time
db.py,41:21.8,1510,5574,1220,5574,-290,0,41:26.0,0 days 00:00:04.241310
emails.py,08:32.0,1220,5574,1226,5574,6,0,08:52.3,0 days 00:00:20.307484
emails.py,18:15.7,1226,5574,1232,5574,6,0,18:54.0,0 days 00:00:38.252084
emails.py,36:01.8,1232,5574,1255,5575,23,1,36:46.7,0 days 00:00:44.867970
db.py,39:54.4,1255,5575,1213,5575,-42,0,39:57.5,0 days 00:00:03.144173
db.py,49:35.0,1213,5575,1203,5575,-10,0,49:38.0,0 days 00:00:02.971983
emails.py,2025-05-03 20:06:27.361999,1203,5575,1226,5575,23,0,2025-05-03 20:07:20.691367,0 days 00:00:53.329368
emails.py,2025-05-03 20:12:02.840781,1226,5575,1248,5575,22,0,2025-05-03 20:12:52.729435,0 days 00:00:49.888654
db.py,2025-05-03 20:13:29.207495,1248,5575,1206,5575,-42,0,2025-05-03 20:13:32.175174,0 days 00:00:02.967679
emails.py,2025-05-08 08:23:20.754555,0,5575,22,5575,22,0,2025-05-08 08:24:25.842767,0 days 00:01:05.088212
gs.py,2025-05-08 08:24:29.375117,22,5575,22,5575,0,0,2025-05-08 08:34:00.694804,0 days 00:09:31.319687
rd_ext.py,2025-05-08 10:36:43.953058,137,5575,446,5580,309,5,2025-05-08 11:01:09.886369,0 days 00:24:25.933311
rd_ext.py,2025-05-12 11:45:02.973775,1155,6000,1156,6000,1,0,2025-05-12 11:45:03.169438,0 days 00:00:00.195663
rd_ext.py,2025-05-12 11:48:14.122009,1156,6000,1157,6000,1,0,2025-05-12 11:48:14.333549,0 days 00:00:00.211540
emails.py,2025-05-12 20:02:36.925360,0,6000,23,6000,23,0,2025-05-12 20:03:41.778644,0 days 00:01:04.853284
gs.py,2025-05-12 20:03:44.348917,23,6000,23,6000,0,0,2025-05-12 20:20:21.696912,0 days 00:16:37.347995
ebs.py,2025-05-13 17:40:43.077098,149,6023,172,6024,23,1,2025-05-13 18:48:36.190435,0 days 01:07:53.113337
ebs.py,2025-05-13 19:45:47.585208,194,6024,307,6031,113,7,2025-05-13 21:10:46.476472,0 days 01:24:58.891264
rd_ext.py,2025-05-13 21:16:05.946454,307,6031,548,6033,241,2,2025-05-13 21:35:51.825982,0 days 00:19:45.879528
scraper.py,2025-05-13 21:35:55.297186,548,6033,1648,6510,1100,477,2025-05-13 21:39:32.765508,0 days 00:03:37.468322
fb.py,2025-05-14 05:23:27.356396,1648,6510,1648,6510,0,0,2025-05-14 05:31:22.289394,0 days 00:07:54.932998
fb.py,2025-05-14 05:33:32.035229,1648,6510,1648,6510,0,0,2025-05-14 05:35:59.324767,0 days 00:02:27.289538
fb.py,2025-05-14 05:36:42.802512,1648,6510,1852,6524,204,14,2025-05-14 10:45:54.453989,0 days 05:09:11.651477
db.py,2025-05-14 10:45:57.992386,1852,6524,1136,6524,-716,0,2025-05-14 10:46:02.642074,0 days 00:00:04.649688
clean_up.py,2025-05-14 10:46:06.309081,1136,6524,994,6524,-142,0,2025-05-14 10:46:09.404043,0 days 00:00:03.094962
dedup_llm.py,2025-05-14 10:46:12.624942,994,6524,994,6524,0,0,2025-05-14 10:46:23.972548,0 days 00:00:11.347606
