org_names,title,keywords,url,snippet
"""Victoria International KizombaFestival""",Victoria International KizombaFestival ...,"kizomba, urban kiz, semba, tarraxo, tarraxa, tarraxinha, douceur",https://www.instagram.com/vic_international_kizomba_fest/,"... Urban Kiz, Tarraxo, Douceur... - Room B: Kizomba, Semba, Passada, Zouk... - Room C: Tarraxinha, Douceur, Konpa... THEMES: Friday: Black & Gold Saturday: All ..."
"""Kizomba Victoria""",Kizomba Victoria,"kizomba, urban kiz, semba, tarraxo, tarraxa, tarraxinha, douceur",https://www.facebook.com/groups/265269613666246/,"This group consists of committed Kizomba dancers in Victoria BC. We are happy to share our videos, songs, and events with the Kizomba world."
"""Paso Doble Dance Studios""",Paso Doble Dance Studios - The Dance Studio Finder,"salsa, bachata, kizomba, merengue, cha cha cha",https://thedancestudiofinder.com/dance-studios/categories/paso-doble/,"Sep 10, 2021 ... Foxtrot, Merengue, Cha cha, Jive, Salsa, Wedding Dance ... 612 david street, Victoria, British Columbia V8T 2E1. Canada / British Columbia."
"""Latin Dance Canada""",Our Family | Latin Dance Canada,"salsa, bachata, kizomba, merengue, cha cha cha",https://latindancecanada.com/our-family/,"He opened his first studio in Victoria, British Columbia, where he began ... In addition to Bachata, Ronald teaches Salsa and Kizomba. Thomas Jono."
"""Salsa Moderna""","Salsa Moderna: Afro-Latin dance Lessons - Kizomba, Bachata & Salsa","salsa, bachata, kizomba, merengue, cha cha cha",https://latinvictoria.ca/,"Our school of Afro-Latin dance has operated in Victoria, BC since the 1990s. ... Salsa, Rumba, Cha cha cha, Bachata and other dances. Out of Brazil came ..."
"""None""",Yula V (@elegancia_cubana) • Instagram photos and videos,"salsa, bachata, kizomba, merengue, cha cha cha",https://www.instagram.com/elegancia_cubana/,"677 Davie St, Vancouver, British Columbia V6B 2G6. www.facebook.com ... JIU SALSA BACHATA. Follow. vancouverbachataevents's profile picture."
"""None""","Bachata Sensual Workshop - 2025 Tickets, Sun, Jan 19, 2025 at 3 ...","salsa, bachata, kizomba, merengue, cha cha cha",https://www.eventbrite.ca/e/bachata-sensual-workshop-2025-tickets-1136959238689,"Led by Jiu Song, a passionate and experienced dance instructor, we specialize in Salsa, Bachata, Kizomba, and Cha-Cha. Join us for classes, performances ..."
"""Salsa Dancing Nanaimo""",Salsa Dancing Nanaimo,"salsa, bachata, kizomba, merengue, cha cha cha",https://www.facebook.com/groups/salsadancingnanaimo/,"This group is focused on Salsa, Bachata, Merengue dancing events and dance classes in Nanaimo. No partner required. Everyone is welcome."
"""Latin Dancing Festivals in Canada""",Latin Dancing Festivals in Canada (Updated 2025) - Latin Dance ...,"salsa, bachata, kizomba, merengue, cha cha cha",https://latindancecalendar.com/festivals/location/canada/,"British Columbia, Canada ... All StylesBachataBallroomBoleroCha-ChaCuban-SalsaDanceSportFlamencoForroGafieiraKizombaMamboMerengueSalsaSambaTangoZouk."
"""None""",All your dance events in one freaking place!,"salsa, bachata, kizomba, merengue, cha cha cha",https://wherecanwedance.com/event_types/social,"Kizomba Bachata Salsa · Workshop Social Weekly. Copy Link; Add to Calendar ... Vancouver, British Columbia. Canada - North America. Kizomba Urbankiz."
"""Latin Dancing Festivals Worldwide""",Latin Dancing Festivals Worldwide (Updated 2025) - Latin Dance ...,"salsa, bachata, kizomba, merengue, cha cha cha",https://latindancecalendar.com/festivals/,"All StylesBachataBallroomBoleroCha-ChaCuban-SalsaDanceSportFlamencoForroGafieiraKizombaMamboMerengueSalsaSambaTangoZouk ... British Columbia, Canada, Brussels, ..."
"""<Salsa Dancing Nanaimo>""",Salsa Dancing Nanaimo | Come level-up your salsa skills with ...,"salsa, bachata, kizomba, merengue, cha cha cha",https://www.facebook.com/groups/salsadancingnanaimo/posts/1107350607491341/,"Nov 26, 2024 ... Wellington Hall, Nanaimo, BC ⏰ Saturday, December 7, 2024 | 1:00 PM Limited tickets available! Visit our website to reserve your spot today ..."
"""Strictly Lindy Hop Swing Vancouver, BC""","Strictly Lindy Hop Swing Vancouver, BC | Looking for a Halloween ...","swing, balboa, lindy hop, east coast swing",https://www.facebook.com/groups/strictlylindy/posts/1234576006605637/,Looking for a Halloween dance! Come on out to Royal City Swing on October 28. We've got DJ Smack and DJ Cam spinning the tunes for you! Joel Cam...
"""Red Hot Swing""","Red Hot Swing – Walk in, swing out!","swing, balboa, lindy hop, east coast swing",https://www.redhotswing.com/,"Learn to swing dance in Victoria, BC! Whether you're a complete beginner to swing, or already enjoy Lindy Hop, Charleston, Balboa, and all the other swing ..."
"""Strictly Lindy Hop Swing Vancouver, BC""","Strictly Lindy Hop Swing Vancouver, BC","swing, balboa, lindy hop, east coast swing",https://www.facebook.com/groups/strictlylindy/,"... Lindy Hop ... East Coast Swing, Balboa, Charleston, Boogie Woogie... : ). Related groups. Vancouver Blues and Fusion Dan... 2.4K members. Join · Seattle Lindy ..."
"""East Coast Swing Dance Studios""",East Coast Swing Dance Studios - The Dance Studio Finder,"swing, balboa, lindy hop, east coast swing",https://thedancestudiofinder.com/dance-studios/categories/east-coast-swing/,"Sep 10, 2021 ... 612 david street, Victoria, British Columbia V8T 2E1. Canada / British Columbia ... Ballroom, Viennese waltz, Lindy hop, Swing, Samba, Tango ..."
"""Lindy Cruise""",Schedule – Lindy Cruise,"swing, balboa, lindy hop, east coast swing",https://lindycruise.com/schedule/,"Beginner East Coast Swing lesson from 5:30-6:00pm, open dancing from 6pm-7 ... Carnival cruises to Victoria, British Columbia call on this genteel ..."
"""None""","Swing Social Shag and Balboa Shake Out - July 16, 2022","swing, balboa, lindy hop, east coast swing",https://www.swingvictoria.net/events/past-events/swing-social-shag-and-balboa-shake-out-july-16-2022,"Jul 16, 2022 ... ... lindy hop workshop, and once it clicked, never looked back. Jeff is now a regular at Balboa events on the west coast, and passionate about ..."
"""Arthur Murray Victoria""",Dances we Teach | Arthur Murray Victoria,"swing, balboa, lindy hop, east coast swing",https://victoriaarthurmurray.com/dances-we-teach,"couple dancing the East Coast Swing. East Coast Swing. Sometimes known as the ... Including styles of Lindy, Charleston, Shag, and Balboa, the Lindy Hop ..."
"""None""",Where to Swing Dance in Victoria,"swing, balboa, lindy hop, east coast swing",https://www.swingvictoria.net/faq/where-to-swing-dance-in-victoria,Search this site. Embedded Files. Skip to main content. Skip to navigation. Home · SDAV Square Shop · Events · SDAV AGM 2024 · Victoria Lindy Exchange.
"""Dance Lesson / Instruction""","Dance Class | Dance Lesson / Instruction. Sunday, Weekly. Victoria ...","swing, balboa, lindy hop, east coast swing",http://www.danceweb.co.uk/dance-class-dance-lesson---instruction/12729.aspx,"Red Hot Swing teaches Lindy Hop, Charleston, and Balboa in Victoria, BC, Canada. We run regular dance nights, and we have a dedicated performance team for ..."
"""Greater Victoria News""",Swing scene still thriving in Victoria - Greater Victoria News,"swing, balboa, lindy hop, east coast swing",https://www.vicnews.com/entertainment/swing-scene-still-thriving-in-victoria-34869,"Feb 3, 2018 ... It's been two decades since the neo-swing dancing scene spread like fire through the metropolitan dance clubs of North America, ..."
"""Victoria West Coast Swing Collective""",Victoria West Coast Swing Collective,"west coast swing, wcs",https://www.facebook.com/groups/victoriawestcoastswingcollective/,The Victoria West Coast Swing Collective is a welcoming group of South Vancouver Island dancers dedicated to the growth of West Coast Swing (WCS) through ...
"""Victoria West Coast Swing Collective Society""",Victoria West Coast Swing Collective Society,"west coast swing, wcs",https://www.victoriawestcoastswing.com/,"Promoting West Coast Swing dance and instructors in Victoria and on Vancouver Island in British Columbia, Canada."
"""None""",Erica Wienzveg (@ewienzveg) • Instagram photos and videos,"west coast swing, wcs",https://www.instagram.com/ewienzveg/?hl=en,"1394 Followers, 5307 Following, 555 Posts - Erica Wienzveg (@ewienzveg) on Instagram: ""Country Dance , WCS , Dog Mom , Airbnb Super Host """
"""Victoria West Coast Swing Collective Society""",Jay Holman — Victoria West Coast Swing Collective Society,"west coast swing, wcs",https://www.victoriawestcoastswing.com/jay-holman,"West Coast Swing Dance and Instructor Promotion in Victoria, British Columbia, Canada ... dance lesson on 2023 Upgrades For WCS! Photos and video recap ..."
"""Improv West Coast Swing""",Improv West Coast Swing (classes starting in August) music ...,"west coast swing, wcs",https://www.instagram.com/coachgabrielshaw/p/CRU6v-hJMuY/?next=%2Fnowweknownews%2Ffeed%2F&locale=zh-hans&hl=ar,"#dance #westcoastswing #wcsdance #modernswing #smoothswing #changeisgood #integrate ... Photo by Gabriel Shaw in Victoria, British Columbia. 6次赞."
"""BC Swing Dance""","WCS Lessons, Social Dances, and Conventions – BC Swing Dance ...","west coast swing, wcs",https://bcswingdance.ca/index.php/learn-to-dance/,"New to West Coast Swing (aka Modern Swing), and not quite sure what it is? Watch this video: Please check with each venue on their specific mask and vaccine ..."
"""OH MY DANCE PRODUCTIONS""",OH MY DANCE PRODUCTIONS - Home,"west coast swing, wcs",https://www.nanaimodancefusion.ca/,"Nanaimo, British Columbia- Canada May 23-25 2025 West Coast Swing Line Dance Salsa/Bachata Nanaimo Dance Fusion. Register today!"
