event_id,event_name,dance_style,description,day_of_week,start_date,end_date,start_time,end_time,source,location,price,url,event_type,address_id,time_stamp,Label,event_type_new
3,Country Two-Step,,Beginner/Intermediate class at the Pro Pat Legion with a 1-hr lesson starting at 19:30 followed by social dancing from 20:30 to 21:45. Instructors: David and Claudia.,Thursday,2025-03-13,2025-03-13,19:30:00,21:45:00,DJ Dancing Dean,"Pro Pat Legion, 411 Gorge Rd E,  BC, V8T 2W1, CA",$12,djdancingdean@39679421.mailchimpapp.com,class,1.0,2025-03-09 16:32:46.208023,0.0,"class, social dance"
8,VBDS Emerald City Ballroom Dance,,Workshop at 7:00pm and Dance from 7:45 to 9:45pm. Dance Floor is Large/Hardwood.,Saturday,2025-03-15,2025-03-15,19:00:00,21:45:00,John de Pfyffer,"Les Passmore Centre, 286 Hampton Rd,  BC, V8Z 1H3, CA",$12,dancevictoria1@shaw.ca,social dance,12.0,2025-03-09 16:33:32.272864,0.0,"workshop, social dance"
13,Island Fantasy Ball/Canadian Closed Championship,,"Canadian Closed Championship event. For more info on pricing and event questions, visit https://www.islandfantasyball.com.",Saturday,2025-04-26,2025-04-27,,,John de Pfyffer,"Beban Park, Nanaimo,  BC, V9T 3K7, CA",,dancevictoria1@shaw.ca,other,14.0,2025-03-09 16:33:32.272864,0.0,social dance
14,Max MacKrill,,,Monday,2025-03-10,2025-03-10,20:30:00,,Bard and Banker,"1234 Government ST, VICTORIA, BC, V8W1Y3, CA",,https://www.bardandbanker.com/live-music,social dance,26.0,2025-03-09 17:00:47.616442,0.0,social dance
15,Miguelito Valdés+band,"bachata, cha cha, cumbia, merengue, salsa",,Tuesday,2025-03-11,2025-03-11,20:30:00,,Bard and Banker,"1234 Government ST, VICTORIA, BC, V8W1Y3, CA",,https://www.bardandbanker.com/live-music,social dance,26.0,2025-03-09 17:00:47.616442,0.0,social dance
16,St. Cecilia,,,Wednesday,2025-03-12,2025-03-12,20:30:00,,Bard and Banker,"1234 Government ST, VICTORIA, BC, V8W1Y3, CA",,https://www.bardandbanker.com/live-music,social dance,26.0,2025-03-09 17:00:47.616442,0.0,social dance
17,The Wedding Crashers,,,Thursday,2025-03-13,2025-03-13,21:00:00,,Bard and Banker,"1234 Government ST, VICTORIA, BC, V8W1Y3, CA",,https://www.bardandbanker.com/live-music,social dance,26.0,2025-03-09 17:00:47.616442,0.0,social dance
18,Vinyl Wave,,,Friday,2025-03-14,2025-03-14,16:00:00,,Bard and Banker,"1234 Government ST, VICTORIA, BC, V8W1Y3, CA",,https://www.bardandbanker.com/live-music,social dance,26.0,2025-03-09 17:00:47.616442,0.0,social dance
19,St. Patrick's Weekend w/Calvin+Charlie,,,Saturday,2025-03-15,2025-03-15,12:00:00,,Bard and Banker,"1234 Government ST, VICTORIA, BC, V8W1Y3, CA",,https://www.bardandbanker.com/live-music,social dance,26.0,2025-03-09 17:00:47.616442,0.0,social dance
20,St. Patrick's Weekend w/Second Fiddle,,,Sunday,2025-03-16,2025-03-16,14:00:00,,Bard and Banker,"1234 Government ST, VICTORIA, BC, V8W1Y3, CA",,https://www.bardandbanker.com/live-music,social dance,26.0,2025-03-09 17:00:47.616442,0.0,social dance
