source,dance_style,url,event_type,event_name,day_of_week,start_date,end_date,start_time,end_time,price,location,description,time_stamp
Zouk Dancing Festivals Worldwide (Updated 2025) - Latin Dance ...,zouk,https://latindancecalendar.com/festivals/?show=map,festival,Bachata Paraiso Festival 2025,Thursday,2025-02-28,2025-02-28,00:00:00,,€10 OFF,"Vienna, Austria",Bachata Paraiso Festival 2025,2025-02-27 14:59:16.387773
Zouk Dancing Festivals Worldwide (Updated 2025) - Latin Dance ...,zouk,https://latindancecalendar.com/festivals/?show=map,festival,Koh Samui Latin Fiesta 2025 (7th Sensual Ed.),Thursday,2025-02-28,2025-02-28,00:00:00,,10% OFF,"Koh Samui, Thailand",Koh Samui Latin Fiesta 2025 (7th Sensual Ed.),2025-02-27 14:59:16.387773
Zouk Dancing Festivals Worldwide (Updated 2025) - Latin Dance ...,zouk,https://latindancecalendar.com/festivals/?show=map,festival,Bachata Day 2025 (10th Edition),Thursday,2025-02-28,2025-02-28,00:00:00,,€10 OFF,Italy,Bachata Day 2025 (10th Edition),2025-02-27 14:59:16.387773
Zouk Dancing Festivals Worldwide (Updated 2025) - Latin Dance ...,zouk,https://latindancecalendar.com/festivals/?show=map,festival,BCN Sensual Family – The Weekend 2025,Tuesday,2025-03-04,2025-03-04,00:00:00,,€5 OFF,Spain,BCN Sensual Family – The Weekend 2025,2025-02-27 14:59:16.387773
Zouk Dancing Festivals Worldwide (Updated 2025) - Latin Dance ...,zouk,https://latindancecalendar.com/festivals/?show=map,festival,KIZOMBA TALLINN FESTIVAL 2025,Tuesday,2025-03-06,2025-03-06,00:00:00,,10% OFF,Estonia,KIZOMBA TALLINN FESTIVAL 2025,2025-02-27 14:59:16.387773
Zouk Dancing Festivals Worldwide (Updated 2025) - Latin Dance ...,zouk,https://latindancecalendar.com/festivals/?show=map,festival,Bachatasia Seville Sensual Congress,Tuesday,2025-03-06,2025-03-06,00:00:00,,€10 OFF,Spain,Bachatasia Seville Sensual Congress,2025-02-27 14:59:16.387773
Zouk Dancing Festivals Worldwide (Updated 2025) - Latin Dance ...,zouk,https://latindancecalendar.com/festivals/?show=map,festival,Bachata Explosion Role Rotation,Wednesday,2025-03-07,2025-03-07,00:00:00,,€5 OFF,"Berlin, Germany",Bachata Explosion Role Rotation,2025-02-27 14:59:16.387773
Zouk Dancing Festivals Worldwide (Updated 2025) - Latin Dance ...,zouk,https://latindancecalendar.com/festivals/?show=map,festival,3rd elSol Spring Edition,Wednesday,2025-03-07,2025-03-07,00:00:00,,10% OFF,"Warsaw, Poland",3rd elSol Spring Edition,2025-02-27 14:59:16.387773
Zouk Dancing Festivals Worldwide (Updated 2025) - Latin Dance ...,zouk,https://latindancecalendar.com/festivals/?show=map,festival,Berlin Salsa Festival III “Fiesta Elegante”,Tuesday,2025-03-14,2025-03-14,00:00:00,,6% OFF,"Berlin, Germany",Berlin Salsa Festival III “Fiesta Elegante”,2025-02-27 14:59:16.387773
Zouk Dancing Festivals Worldwide (Updated 2025) - Latin Dance ...,zouk,https://latindancecalendar.com/festivals/?show=map,festival,KIM 2025 (Kizomba International Madrid),Tuesday,2025-03-14,2025-03-14,00:00:00,,€5 OFF,"Madrid, Spain",KIM 2025 (Kizomba International Madrid),2025-02-27 14:59:16.387773
Zouk Dancing Festivals Worldwide (Updated 2025) - Latin Dance ...,zouk,https://latindancecalendar.com/festivals/?show=map,festival,Fever Bachata Zaragoza Congress 2025,Tuesday,2025-03-14,2025-03-14,00:00:00,,€5 OFF,Spain,Fever Bachata Zaragoza Congress 2025,2025-02-27 14:59:16.387773
Zouk Dancing Festivals Worldwide (Updated 2025) - Latin Dance ...,zouk,https://latindancecalendar.com/festivals/?show=map,festival,BINDASS Bachata Sensual Social Dancing Festival In Amsterdam,Tuesday,2025-03-14,2025-03-14,00:00:00,,€5 OFF,"Amsterdam, Netherlands",BINDASS Bachata Sensual Social Dancing Festival In Amsterdam,2025-02-27 14:59:16.387773
Zouk Dancing Festivals Worldwide (Updated 2025) - Latin Dance ...,zouk,https://latindancecalendar.com/festivals/?show=map,festival,Istanbul World Dance Congress,Monday,2025-03-19,2025-03-19,00:00:00,,5% OFF,"Istanbul, Turkey",Istanbul World Dance Congress,2025-02-27 14:59:16.387773
